indice,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet,clasificacion
11,2021-01-25 19:57:50+00:00,Cesar,"Mexico, ME",700,0,1,[],"@beto959949355 @max_marcos_ @VeryNiceTrue @Vero_Mendoza_F Lamentablemente en Perú les han atornillado la idea que el estado y otras personas les debemos algo por nuestros éxitos.
Un estado paternalista crea gente que solo se queja y que ve con odio al que con su esfuerzo, trabajo logró salir adelante. Yo salí adelante en otro país.",-1
12,2021-01-25 19:57:35+00:00,Carlos AC 🇵🇪,"Lima, Perú",9,0,0,[],@Ella_despeinada @claudiacisneros @Vero_Mendoza_F Sabes que Verónica es izquierdista verdad ?,-1
13,2021-01-25 19:57:08+00:00,John Doe,,0,0,0,[],@Ella_despeinada @claudiacisneros @Vero_Mendoza_F Rojos nunca,-1
14,2021-01-25 19:55:08+00:00,José Antonio,"Lima, Peru",245,0,1,[],"@Vero_Mendoza_F El ""Terruqueo"" no es para asustar sino para ¡DEFINIRLOS! por todo el daño que representan para el Perú.
La candidata del ""floro"" utilizando sus viejos recursos, solo aparece en elecciones para florearnos. https://t.co/5QUydGDmSA",-1
15,2021-01-25 19:54:24+00:00,Horacio Benavides,Lima- Peru,4328,0,0,[],"@Caretas @vero_mendoza_f opina de todo, pero no sabe nada, nunca trabajó en su vida, nunca deslinda claro con Maduro.",-1
16,2021-01-25 19:52:35+00:00,Dante Alighieri Luque,,9,0,0,[],@Vero_Mendoza_F Porque odias tanto los empresarios?.,-1
17,2021-01-25 19:50:50+00:00,Nuvillette,,503,0,0,[],"@_jhimRM @Vero_Mendoza_F @Cisco182 Déjala, ella tiene que ser presidente, para que exporte cuyes al mundo. No funcionará, pero que nos vamos a reír, eso tenlo por seguro.",-1
18,2021-01-25 19:50:44+00:00,Pablo Secada,"Lima, Peru",38962,0,28,[],@Vero_Mendoza_F ¿Cómo defines decir que los agroindustriales son gamonales del XIX?,-1
19,2021-01-25 19:49:47+00:00,ChicoRataGamer,,4,0,0,[],"@Vero_Mendoza_F DIME UN SOLO PAIS DE IZQUIERDA QUE HAYA TRIUNFADO....
....... ESTOY ESPERANDO, ZZZ ZZZ ZZZ",-1
20,2021-01-25 19:49:13+00:00,betoarenas,,75,0,0,[],@Vero_Mendoza_F Tu nos asustas con tu discurso desfasado y nada transparente...,-1
21,2021-01-25 19:48:09+00:00,Eduardo Barrionuevo Gargurevich,LIMA,621,0,0,[],"Alguien como @Vero_Mendoza_F que nunca trabajó, que cargaba las maletas de dinero CHAVISTA de NADINE, que llevaba su contabilidad siempre estará dispuesta a ""vivir"" del Estado y nuestros impuestos.
Si la dejan al frente del gobierno, en 1 día quiebra al país y lo manda a la M... https://t.co/z2pBmd6MXW",-1
22,2021-01-25 19:45:56+00:00,betoarenas,,75,0,1,[],"@max_marcos_ @dulong23 @VeryNiceTrue @Vero_Mendoza_F Tu eres de los que te gusta que el estado te dé todo, entonces vota por Mendoza qué con su posible política económica nos enviará a ser una Venezuela o o aún peor.... No a Verónica!!!",-1
23,2021-01-25 19:44:12+00:00,Victor Bustamante,"Las Condes, Santiago, Chile",13,0,0,[],"@Vero_Mendoza_F Los que no quieren TUS cambios, que son retrocesos!. Lo qué haces se llama falacia de generalización apresurada",-1
24,2021-01-25 19:39:44+00:00,Carlos Paredes,"Hornsby, Sydney",89,0,0,[],@Vero_Mendoza_F Empieza por cambiar tú y llama dictador a Maduro y terrorista a Abimae y te creemos,-1
25,2021-01-25 19:38:38+00:00,jhim🐔🌴,Peru,1319,0,0,[],"@Vero_Mendoza_F @Cisco182 No quieren que la llamen terruca , pero se junta con Hugo blanco 😂",-1
26,2021-01-25 19:37:45+00:00,victor prada cotrina,,194,0,0,[],@VakulikP @abelgilvonio @Vero_Mendoza_F @CONFIEP Q bueno que ahora eres un mononeuronal!!ves!!,-1
27,2021-01-25 19:34:06+00:00,luis beto magno,Peru,202,0,0,[],"@Vero_Mendoza_F Dime con quien andas y te diré quién eres...
Si tienes candidatos que comulgan con SL, y no quieres que te terruqueen.
Quieres cambiar la constitución como la de Chávez y dices que Venezuela es un país democrático.
Solo buscas victimizarte, pero nadie te cree",-1
28,2021-01-25 19:30:45+00:00,Anngie,Peru,841,0,0,['TerrorismoNuncaMas'],@EduPlasencia2 @RPPNoticias @Vero_Mendoza_F 🤣🤣🤣 chapa tu agenda #TerrorismoNuncaMas,-1
29,2021-01-25 19:27:05+00:00,Alfonso Lezameta,,2632,0,2,[],"@felipeestevesvg El estado nunca a hecho las cosas bien , saquen a esta chibola pulpina @Vero_Mendoza_F de la carrera la esta cagando.",-1
30,2021-01-25 19:26:00+00:00,Cesar,"Mexico, ME",700,0,0,[],@Hebesac23 @max_marcos_ @VeryNiceTrue @Vero_Mendoza_F Te doy mi explicación como economista ?,-1
31,2021-01-25 19:24:00+00:00,Sasha Medrano,San Isidro,2,0,0,[],@Sasha2012a @victorhaya1 @Popy20206 @Vero_Mendoza_F Es falso lo que escribiste,-1
32,2021-01-25 19:20:25+00:00,Qhristian,,9,0,0,[],@AdrianMarthin @EfranMendoza14 @Vero_Mendoza_F En ningun lugar funciono por el amor de dios.,-1
33,2021-01-25 19:19:14+00:00,Pool Vasso,,1,0,0,['Yape'],@arturogoga @BCPComunica Sigue dandole likes a los twets de la terruca de @Vero_Mendoza_F y no tendras acceso pero ni a #Yape increible que alguien con una educacion promedia apruebe lo que salga del hocico de esa extremista,-1
34,2021-01-25 19:18:20+00:00,betoarenas,,75,0,0,[],"@VeryNiceTrue @MatiaSC55 @Vero_Mendoza_F Que miedo, la rojita es un peligro!!!",-1
35,2021-01-25 19:17:35+00:00,betoarenas,,75,0,0,[],"@max_marcos_ @dulong23 @VeryNiceTrue @Vero_Mendoza_F Esa no es economía más justa, es repartija, sacando de unos para dar a otros...",-1
36,2021-01-25 19:17:04+00:00,Esteban Castañeda,"Lince, Peru",60,0,0,[],@LuciaAlvites @Vero_Mendoza_F @JuntosporPeru Xq no se VA a planificar sus estupideces a otro Pais?,-1
37,2021-01-25 19:15:50+00:00,Marcos Mendoza,,140,0,2,[],"@mili_Brujita @Vero_Mendoza_F V.Mendoza y M.Glave➡️ LA IZQUIERDA CAVIAR y COMUNISTA Ke Mantuvieron y MANTIENEN Complice Silencio Sobre el Terrorismo, NUNCA Deslindaran de IZQUIERDA TERRORISTA de Los 80,s La llamaran Un ""Conflicto Interno"" Igual Ke Los CRIMINALES Terroristas de S.L o Diran Que eran Chiquitas😐 https://t.co/uv2PCJ1i4u",-1
38,2021-01-25 19:14:22+00:00,Pablo Roca,"Independencia, Lima, Peru.",613,0,0,[],"@Vero_Mendoza_F Para tener un estado empresario e inútil como siempre lo fue no gracias señora,para que afectar el modelo económico que aunque con defectos funciona, algún día me gustaría votar por la izquierda cuando deje esos arcaicos intentos de estatización...",-1
39,2021-01-25 19:13:19+00:00,Kallpamar20,,2,0,0,[],@DelaPuenteJuan @Vero_Mendoza_F @Cuarto_Poder El discurso de la izquierda siguen en los años 70 cambio de constitucion capitulo economico repiten como loros,-1
40,2021-01-25 19:09:17+00:00,Jose Vidal,"La Molina, Peru",65,0,0,[],"@Vero_Mendoza_F @larepublica_pe Jajaja, quién le cree a esta terruca...sus modelos a seguir son Chávez, Maduro, Fernández-Kirchner...basta mirar cómo están esos países para descalificar a Verónika y a todo su séquito que, sin sangre en la cara, gritan ¡Viva el Comandante Chávez! 🤬🤬",-1
41,2021-01-25 19:07:26+00:00,Esteban Villalobos,,6,0,0,['TerrorismoNuncaMas'],"#TerrorismoNuncaMas
Jamás  @Vero_Mendoza_F",-1
42,2021-01-25 19:00:21+00:00,Atusparia,,0,0,0,[],"@pedrofrancke @Vero_Mendoza_F @SudacaPeru @rmapalacios @jctafur Ose The Economist apoya a Vero? Wow q golaso. Estos rojos q’ ni bien alguien les sigue la cuerda festejan. Obvio q debe ser gratis para todos, eso no quita q pueda existir gente en un segunda etapa q pueda financiar su vacuna. Mucha ideología y cero análisis",-1
43,2021-01-25 19:00:19+00:00,ChristianChoquehuancaM,"Callao, Perú",15,0,0,[],"@DianaG72402903 @canalN_ @Vero_Mendoza_F Me refiero a su ideología y el alcance que tiene la izquierda radical. Es un gran riesgo que yo no correré. Felizmente hay excelentes candidatos infinitamente mejores y de derecha, con cambios radicales pero realmente pensando en el País.",-1
44,2021-01-25 18:59:21+00:00,Qhristian,,9,0,0,[],"@AdrianMarthin @EfranMendoza14 @Vero_Mendoza_F No es asi. Dijo por ahora. Se hace la loca. Mira si alguien evade impuestos q le caiga su sancion pero con ese pretexto subiran impuestos a la sobre ganancias, a las grandes fortunas, a las herencias q al final la paga el ciudadano de a pie. Eso ya lo vimos con Alan y Chavez.",-1
45,2021-01-25 18:56:33+00:00,Jjmorales,,76,0,0,['TerrorismoNuncaMas'],"@LuisMGarrido @pedrofrancke @Vero_Mendoza_F @SudacaPeru @rmapalacios @jctafur RESENTIMIENTO TERRORISTA

VM: ""Si te sacaste la mela para tener trabajo y ahorras 300 soles para vacunarte, ME IMPORTA UN CARAJO SI MUEREN MILLONES, con tal que los privados no apoyen al pueblo, solo el estado genocida debe vacunar""

#TerrorismoNuncaMas
https://t.co/6Xgeegnkkb",-1
46,2021-01-25 18:54:28+00:00,Adrián Aiquipa,Lima - Perú,251,0,0,[],"@Qhristian3 @EfranMendoza14 @Vero_Mendoza_F Lo de la maquinita ya se descartó hace rato. Puede buscar en la web si desea, o en el mismo twitter. Impuesto pagamos todos, pero sabe quién evade impuestos impunemente a pesar de recibir oneroso salarios y gigantes ganancias mes a mes? Si, las grandes empresas. Defiende a ellos?",-1
47,2021-01-25 18:51:49+00:00,Qhristian,,9,0,0,[],@AdrianMarthin @EfranMendoza14 @Vero_Mendoza_F No hizo ni mierda ese zangano mas bien robo pero no estorbo los q producen. La Vero entra ra a poner impuestos a lo q sea y llenarnos de ministerios con gente inutil y para peor quiere desempolvar la maquinita.,-1
48,2021-01-25 18:51:18+00:00,Pablo Ruiz,"Lima, Peru",17,0,0,[],"@Hebesac23 @OscarGm24453995 @oscaror_coach @Vero_Mendoza_F Jajajajaja que bien te han engañado, mira el entorno de veronika y lo que dicen, adictos a las ideas de Chávez.",-1
49,2021-01-25 18:48:03+00:00,Alejandro Sifuentes,,1063,0,2,[],@CoctelAntiedad Lo de @Vero_Mendoza_F con las vacunas es sencillamente terrorismo.,-1
50,2021-01-25 18:45:55+00:00,Jose Ramirez,,258,0,0,[],@abelgilvonio @Vero_Mendoza_F Creo q estas fumando la misma de olivares.,-1
51,2021-01-25 18:44:43+00:00,Pablo Ruiz,"Lima, Peru",17,0,0,[],"@luisguet @TaniaRamirezF @Vero_Mendoza_F @Cuarto_Poder Es la verdad, todo el entorno de veronika está plagado de chavistas, solo busca info de esa gente y verás que lo que quieren instalar en el Perú es un régimen parecido al de Venezuela.",-1
52,2021-01-25 18:44:21+00:00,Alvaro Diaz Bedregal,,666,0,3,[],"@pedrofrancke @Vero_Mendoza_F @SudacaPeru @rmapalacios @jctafur Ni The Economist es ""buque insignia liberal"" ni a Ud le preocupa la salud. Se necesita todas las cadenas de distribución del Perú activas poniendo esas vacunas. Pero Uds prefieren que la vacunación sea mucho más lenta y más muertes,con tal que las empresas privadas no participen.",-1
53,2021-01-25 18:43:19+00:00,Jjmorales,,76,0,0,['TerrorismoNuncaMas'],"@HenryWotton15 @Vero_Mendoza_F RESENTIMIENTO TERRORISTA

VM: ""Si te sacaste la mela para tener trabajo y ahorras 300 soles para vacunarte, ME IMPORTA UN CARAJO SI MUEREN MILLONES, con tal que los privados no apoyen al pueblo, solo el estado genocida debe vacunar""

#TerrorismoNuncaMas
https://t.co/6Xgeegnkkb",-1
54,2021-01-25 18:42:25+00:00,Efraín Mendoza,,10,0,0,[],"@AdrianMarthin @Vero_Mendoza_F Darle una oportunidad a la izquierda, es como darle una metralleta a un mono, no ves como la izquierda ha destrozado Venezuela, lo mismo ha hecho en Argentina, sin dejar de mencionar a Ecuador, seguimos?
La derecha no es perfecta, pero trabaja, algo que ustedes no saben hacer.",-1
55,2021-01-25 18:41:27+00:00,jose sapiens,,5,0,0,[],@Vero_Mendoza_F No sólo es terráqueo. No t limpies del ro he de las agendas de Nadine ni tu apoyo a Chávez maduro,-1
56,2021-01-25 18:38:24+00:00,David Flores,"Lima, Perú",127,0,2,[],@JulioCsarPrrag1 @AnteslaLey @Vero_Mendoza_F @KarynaLlontopG El mismo discurso de la secretaria de Nadine.,-1
57,2021-01-25 18:36:59+00:00,Nils MedGar,Peru,2,0,0,[],@SergioLuisRom10 @Vero_Mendoza_F @larepublica_pe Así??? Puedes pasarnos la fuente donde se desvincula con la dictadura de Venezuela???,-1
58,2021-01-25 18:35:29+00:00,alfredo carrera,,234,0,0,[],@Vero_Mendoza_F No es tiempo de la izquierda parasita aun.,-1
59,2021-01-25 18:33:24+00:00,Lenintario,Delfos,556,0,3,[],"@pedrofrancke @Vero_Mendoza_F @SudacaPeru @rmapalacios @jctafur Debe de ser gratis para el que no pueda pagarlo  y el que pueda pagar , que lo compre. Cuál es el problema ??",-1
60,2021-01-25 18:31:41+00:00,Queco Jones,"Peru, Nebraska",297,0,0,[],@Arieldris @anngie0902 @RPPNoticias @Vero_Mendoza_F Funciona perfecto.. terruca de mierda.,-1
61,2021-01-25 18:31:40+00:00,ELEAZAR CHUMACERO,,39,0,1,[],"@Vero_Mendoza_F @Cuarto_Poder Nuevamente Señora, el trabajo que genera progreso y desarrollo, es la gran industria, si no generamos agroindustria, minería de transformación no solo de extracción, pesca industrial, etc. No podemos seguir pensando en el artesano que solo logrará autososten y todo seguirá igual.",-1
62,2021-01-25 18:28:46+00:00,Anngie,Peru,841,0,2,"['izquierdacomunista', 'Peru', 'TerrorismoNuncaMas']","@Arieldris @RPPNoticias @Vero_Mendoza_F Ratas? La #izquierdacomunista jamás quiso la  pacificación del #Peru hasta el día de hoy sigue llamando ""Guerra Interna"" a los actos de terrorismo de Sendero Luminoso y Tupac Amaru. Ellos, mataron, asesinaron, secuestraron a miles de peruanos inocentes #TerrorismoNuncaMas",-1
63,2021-01-25 18:27:26+00:00,Luis Ticona,Peru,262,0,0,[],"@Vero_Mendoza_F Tantas mentiras por eso hasta en el Cusco no te pasan y te botan, por eso nadie te quiso firmar tu planillón ONPE, la gente recuerda que eras secretaria de Nadine y tú letra está en sus agendas...y más!!",-1
64,2021-01-25 18:24:57+00:00,Juan Carlos,"Moyobamba, Peru",1,0,0,[],@Vero_Mendoza_F Bueno yo sigo pensando lo mismo la izquierda no es buena opción para ningún país así q sra no joda por favor,-1
65,2021-01-25 18:24:40+00:00,claudio martinez grau,"La victoria, Peru",6,0,0,[],"@Vero_Mendoza_F Queremos cambios para bien, queremos avanzar, no queremos un país socialista, no queremos mano tibia con el terrorismo, no queremos matar a la economía.",-1
66,2021-01-25 18:24:02+00:00,Alfonso Lezameta,,2632,2,8,[],"Cuando @Vero_Mendoza_F le va contar al todos los peruanos que paso con todo el dinero de Vzla que cargaba en malines cuando fue secretaria de @NadineHerediaA , Terruquita nadie te va creer una sola palabra hasta que digas la verdad.",-1
67,2021-01-25 18:23:46+00:00,Jhonatan Ruiz(ジョナタン),"Trujillo, Peru",67,0,2,[],@Marcos667788 @Arieldris @anngie0902 @RPPNoticias @Vero_Mendoza_F Y así es! La hipócrecia caviar y doble moral 🤷‍♂️,-1
68,2021-01-25 18:21:18+00:00,Salvador C,Peru,27,0,0,[],@Lapo_ELCan @levirey @Vero_Mendoza_F Recuerden que JP esta llevando gente de Patria Roja. Radicales ni de izquierda ni derecha nunca más en el Estado. Debemos limpiarnos de esa gente,-1
69,2021-01-25 18:20:53+00:00,Rosaura_Perez,,127,0,0,[],"@Vero_Mendoza_F Que CONCHUDA eres Ex SECRETARIA DE NADINE HEREDIA mujer de OLLANTA HUMALA, ""El Pelele"", (DUPLA CORRUPTA que se vendio a ODEBRECHT y esto si lo ha confesado BARATA), bien decía su suegro el papá de OLLANTA que NADINE es una mujer BORRACHITA DE PODER, yo voté el https://t.co/OPjhjGCGGq",-1
70,2021-01-25 18:20:23+00:00,T.M (El Putin peruano),,58,0,0,[],"@Sasha_Fer4 @Vero_Mendoza_F No creo. Cagas al pais si votas por forzay, guzman, veronica o el frente amplio. Si votas por cualquiera de los demas, sera un bien para el Perú.",-1
71,2021-01-25 18:19:51+00:00,Juanka Chavez,,5,0,0,[],@LuciaAlvites @Vero_Mendoza_F @JuntosporPeru Así como su cándidato al congreso y sus opiniones sobre la vacuna y la alteración genética Cuando sean claros y brinden una postura sobre Maduro y Chávez se verán como una opción.,-1
72,2021-01-25 18:19:30+00:00,diego manarelli,,4621,0,1,[],"ACASO HAY QUE RECORDARLE A LA SRA @Vero_Mendoza_F SU  ÍNTIMA AMISTAD CON GUILLERMO BERMEJO LÍDER SENDERISTA EN EL VRAEN,CARLOS HONRES YGLESIA ,MARÍA ELENA FORONDA DEL MRTA PRESOS X TERRORISMO Y ASÍ MUCHOS MÁS..Y NO QUIERE  EL TERRUQUEO..BIEN CARADURA
https://t.co/SD8nVaQME9 https://t.co/Th0WT0pG09 https://t.co/xNtdHQWaRP",-1
73,2021-01-25 18:17:46+00:00,Oscar Osorio Rivas,"Lima, Peru",331,0,0,[],"@Hebesac23 @Vero_Mendoza_F Esta bien, es tu derecho creer en las propuestas de Veronika; respeto eso, pero a mi me parece que es una candidata de experiencia con propuestas que no mejoraran la situación de los ciudadanos. Buena semana!",-1
74,2021-01-25 18:16:22+00:00,Antonio 🇵🇪,"Lima, Peru",364,0,0,[],"@ScheuchMartin Error Martin, para @Vero_Mendoza_F vivir en Venezuela,  Cuba, es una maravilla, se vive en ""democracia "", Evo Morales es un gobierno d 1era., Vero hasta ahora no se ha hecho una prueba  grafotécnica para saber si la grafía d las agendas es suya, aq le teme?
Mmm..
Yo paso con Vero",-1
75,2021-01-25 18:16:13+00:00,Oscar Osorio Rivas,"Lima, Peru",331,0,1,[],"@Hebesac23 @OscarGm24453995 @Vero_Mendoza_F ""actividad económica para regular el mercado"", eso se regula con entidades de control fuertes (ese si es un cambio bueno) tipo indecopi, osinermin, osiptel, SMV, SBS; las empresas del estado son ineficientes, son bolsa de trabajo y asesorias para partidarios.",-1
76,2021-01-25 18:15:09+00:00,leonardoneyrachavez,,26,0,0,[],"@VakulikP @abelgilvonio @Vero_Mendoza_F @CONFIEP Regular es reglamentar más no prohibir. Todos sabemos lo que desea Verónica. Hasta el mismo maduro dijo que en Venezuela habría libre comercio y mira como acabó. Así es la izquierda y el socialismo, así será el gobierno de La Vero.",-1
77,2021-01-25 18:15:00+00:00,Cesar,"Mexico, ME",700,0,0,[],"@Hebesac23 @max_marcos_ @VeryNiceTrue @Vero_Mendoza_F que invención que hiciste por el amor de Dios.
Agarrate algún libro de economía y dale una leída en lugar de repetir estas fantasías.",-1
78,2021-01-25 18:14:30+00:00,Henry Gonzáles León,"Lima, Perú",545,0,0,[],"@OjoscafeR @Vero_Mendoza_F Nunca votaría por la izquierda, más aún mirando espejos de Cuba y Venezuela",-1
79,2021-01-25 18:13:43+00:00,Toms,Tumbes,49,0,0,[],"@JuntosporPeru @Vero_Mendoza_F esa populista que diga primero de donde va a sacar la plata para dar ese bono, si hubiera plata hace rato que sagasti ya hubiera dado un bono también.",-1
80,2021-01-25 18:12:26+00:00,Marco A. De Lama,+51969614511,731,0,0,[],"@Vero_Mendoza_F No necesito saber que eres tuca, basta con que apoyas a ellos suficiente, pero eso no me sorprende.
Siento que no estás capacitada y no entiendes nada de gobierno así que no vas.",-1
81,2021-01-25 18:11:49+00:00,Constantino Rey,,8,0,0,[],"@Vero_Mendoza_F Y las agendas,,,",-1
82,2021-01-25 18:11:27+00:00,realistaypatriota,,93,0,0,[],"@Vero_Mendoza_F @Cuarto_Poder Jajajajaj pobrecita está Sra, por favor primero gerencia un kiosko o una tienda de barrio y si logras mantenerla con éxito, te lo juro q te seguimos más de 100 mil Mineros",-1
83,2021-01-25 18:11:26+00:00,Luis Zorrilla,,17,0,0,[],"@Vero_Mendoza_F Uds. Están perdidos desde q apoyan a Maduro y son fieles a Cuba. En el Perú q fácil es conseguir dinero postulando, sin importar q se gane o no. Importa lo q se negocie en el proceso electoral, es la oportunidad del desempleado corrupto, adelante y envejece en tu engaño.",-1
84,2021-01-25 18:10:23+00:00,Jon,"Lima, Peru",10,1,1,[],"@Vero_Mendoza_F Claro que es tiempo de cambiar!! Pero a un país más liberal, no con ideologías fracasadas, más estado es igual a menos desarrollo de los ciudadanos",-1
85,2021-01-25 18:09:36+00:00,Pedro Gonzales,,397,4,4,[],"@mili_Brujita @Vero_Mendoza_F La Secretaria y cómplice de Nadine; hablando de Corrupcion . Veronika Mendoza con su ex-marido recibió dinero de OAS, para su campaña..... a cambio de que???. https://t.co/3pgl1Zegmy",-1
86,2021-01-25 18:08:52+00:00,Chalan,,78,0,0,[],@Vero_Mendoza_F 😂😂😂😂😂😂 buen chiste terronica 😂😂😂,-1
87,2021-01-25 18:06:13+00:00,Caroline Weiss,Argentina,775,0,0,[],"@Vero_Mendoza_F Los fujimoristas mafiosos, terruquean; los demás no queremos los cambios absurdos que propone la Sra",-1
88,2021-01-25 18:04:23+00:00,César Gamboa,"Lima, Peru",611,0,0,['TerrorismoNuncaMas'],@Vero_Mendoza_F #TerrorismoNuncaMas,-1
89,2021-01-25 18:03:40+00:00,Julio César Párraga,"Puente Piedra, Peru",127,0,2,[],"@AnteslaLey @Vero_Mendoza_F @iDavidFlores @KarynaLlontopG 😅 pero que bonitas palabras, propuestas 😂 y miren en lo que acabo su país.",-1
90,2021-01-25 18:01:31+00:00,Nisoca,,93,1,1,[],"@Vero_Mendoza_F Verónica ya fuiste gobierno, con los Humala.",-1
91,2021-01-25 17:59:17+00:00,William,Peru,742,0,0,[],@Vero_Mendoza_F Usted no es admiradora de Nicolas Maduro y Fidel Castrol no lo niegue.,-1
92,2021-01-25 17:58:40+00:00,realistaypatriota,,93,0,0,[],"@Vero_Mendoza_F Jajajaja ..! Uds creen que el PERÚ es un kiosko o que ? El PERÚ es una gran empresa que necesita un buen GERENTE, si fueras una buena Gerenta estarías trabajando en una Cia d prestigio y no chupando la teta dl estado, algo más? Sangre en la cara!",-1
93,2021-01-25 17:58:40+00:00,Oscar Gómez,,34,0,0,[],"@Hebesac23 @oscaror_coach @Vero_Mendoza_F Acaso la izquierda cierra las minas cuando llegan al poder? Las expropian, al ser del estado el fiscalizador desaparece y la contaminación allí si crece sin control, la izquierda esta contra la minería solo para desacreditar el modelo, cuando toman el poder contaminan sin control",-1
94,2021-01-25 17:58:19+00:00,Hernan Benigno Salas,,116,0,1,[],"@oscaror_coach @Vero_Mendoza_F Es que usted no la lee, ni la escucha, su sesgo ideológico no se lo permite.",-1
95,2021-01-25 17:57:49+00:00,Militt 🥰 Brujita,"Lima, Peru",9234,28,56,[],"Esta sinvergüenza @Vero_Mendoza_F se olvida que era la secretaria arrestada de Ratadine y lo único que sabía era cargar sus carteras y escribir en las agendas.
Entonces de qué corrupción hablamos @Vero_Mendoza_F ?? https://t.co/r6uIlSxkr7",-1
96,2021-01-25 17:57:17+00:00,vivefash@gmail.com,"Surquillo, Peru",25,0,0,[],@Vero_Mendoza_F Ella me parece coherente pero sus candidatos congresales dan miedo.,-1
97,2021-01-25 17:57:03+00:00,Amador Merino Reyna - K15,Lima,5706,2,5,[],"@eudmed @Vero_Mendoza_F Veronika representa a la izquierda cavernaria, esa q piensa q todo esta mal y debe ser reconstruido.
Es un Pol Pot en potencia.",-1
98,2021-01-25 17:56:10+00:00,miguel,,43,0,0,[],"@eudmed @BipolarMiddle @Vero_Mendoza_F lo q propone keiko es la vuelta de la represion , el retorno de la corrupcion del fujimori de los 90  y aliaga quiere un pais al estilo bolsonaro",-1
99,2021-01-25 17:55:49+00:00,Patricia Bracesco,Arequipa Peru,379,0,0,[],@Vero_Mendoza_F Yo soy gente y ud no me representa,-1
100,2021-01-25 17:54:12+00:00,Jose cajahuaringa,"Laguna Hills, CA",247,0,0,[],@Vero_Mendoza_F Terruca,-1
101,2021-01-25 17:53:56+00:00,Oscar Gómez,,34,0,0,[],"@Vero_Mendoza_F Lo que siempre, son unas pobres víctimas y que ofrece? Esperanza, no le da vergüenza, es tiempo de la gente dice, clichés de quien sabe que lo que ofrece en realidad ha fracasado donde se ha intentado",-1
102,2021-01-25 17:53:34+00:00,Linares Walter,,1,0,0,[],@Vero_Mendoza_F El miedo es q nos vas a llevar a la ruina como venezuela,-1
103,2021-01-25 17:53:31+00:00,Susan,,7,0,0,[],@LuciaAlvites @Vero_Mendoza_F @JuntosporPeru Con esas propuestas seremos PeruZuela,-1
104,2021-01-25 17:53:23+00:00,EP,,1,0,1,[],"@pedrofrancke @Vero_Mendoza_F @SudacaPeru @rmapalacios @jctafur Claramente no entendiste el artículo. Como buen economista de izquierda antigua estas perdido. El estado peruano es totalmente ineficiente, y el que alguien pague y se vacune, beneficia a los demás. Preguntale a AMLO.",-1
105,2021-01-25 17:53:00+00:00,Oscar Osorio Rivas,"Lima, Peru",331,0,0,[],"@Hebesac23 @Vero_Mendoza_F se lee muy bien lo que usted dice, nunca he leído algo así en su candidata, menos ser tan impetuosa y clara cuando habla de la informalidad minera, contrabando, etc.",-1
