indice,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet,clasificacion
19,2021-01-24 00:01:33+00:00,Amalia Saldaña G,,280,0,1,[],"@Luccio_lpx @George_Forsyth Bien dicho Luchex, directo a la yugular de muchos huecos como Forsyth.",-1
20,2021-01-23 23:36:36+00:00,Dani..Daniel,Peru,27,0,0,[],"@puzangueando @SalitaSin @George_Forsyth que mas patooo, quieres  otro burro ??  jajajajajaja",-1
21,2021-01-23 23:31:48+00:00,Miriam,,4,0,0,[],"@GloriaMonteneg @George_Forsyth Totalmente inmoral,sin ÉTICA DECENCIA HONESTIDAD nada de nada, por favor, en dónde te criaron FORZAITH???",-1
22,2021-01-23 23:29:05+00:00,nronaldm,,919,0,0,[],"¡CON RAZÓN, LA GESTIÓN DE LA @munilavictoria BAJO LA ADMINISTRACIÓN DE @George_Forsyth, FUE UN ROTUNDO FRACASO!
¡¿SE IMAGINAN CUÁNTOS VAGOS, PARÁSITOS y OPORTUNISTAS COMO ÉL, NOMBRARÁ EN ALTOS CARGOS DEL GOBIERNO, SI LA GENTE PERMITE QUE LLEGUE AL PODER?!
https://t.co/zsK7cQgKzX https://t.co/nMGaGaUQ8v",-1
23,2021-01-23 23:19:44+00:00,Isac B.,,12,0,0,[],"@florborja_5 @RodolfoPerez_2 @George_Forsyth Pero traen harto marxista encubierto. 

O no?",-1
24,2021-01-23 23:12:10+00:00,Elva Casanova,"Lima, Peru",183,0,2,[],"@Luccio_lpx @George_Forsyth y lleva doce fujimoristas en sus filas , un topo más",-1
25,2021-01-23 23:05:39+00:00,Juan Carlos,,255,0,1,[],"Un candidato presidencial con presentaciones en programas faranduleros como @George_Forsyth, que además nos imponen las encuestadoras y medios de comunicación, dista muchísimo del cambio en el nivel de la política que exigen los peruanos de bien. https://t.co/ADAwf8mMRg",-1
26,2021-01-23 22:59:48+00:00,Flor Borja Gutierrez,Lima- Perú,4168,27,108,"['PartidoMorado', '5AlCongreso', 'SaquémonosLaMugre']","En el Partido Morado, no traemos a fujimoristas encubiertos en nuestras listas. Lamento que Victoria Nacional de @George_Forsyth lleve a 12 fujimoristas en su lista. No nos dejemos engañar.

#PartidoMorado
#5AlCongreso
#SaquémonosLaMugre https://t.co/SsPgi2Nv63",-1
27,2021-01-23 22:59:15+00:00,Paloma negra,"Los Angeles, CA",858,0,1,['WillyHaroldForsythCauvi'],"@Guilleacmas Y quién te ha engañado que ese adefecio va a gobernar?? Tú conoces a un tal #WillyHaroldForsythCauvi ?? Yo tampoco, pero suena fuerte que el  gobernaría  @George_Forsyth el ""hijito de papá""",-1
28,2021-01-23 22:48:33+00:00,Marianella Vargas,,117,0,0,"['FujimorismoNuncaMas', 'FujimoriNuncaMas']","@RPPNoticias @George_Forsyth 
🧐🤔👇 
#FujimorismoNuncaMas #FujimoriNuncaMas 
""FORSYTH QUIERE METER AL CONGRESO A 12 PERSONAJES CON PASADO FUJIMORISTA (Y TENEMOS PRUEBAS)""
https://t.co/wLCPfdtjAn",-1
29,2021-01-23 22:12:11+00:00,Henry Gonzáles León,"Lima, Perú",544,0,0,[],@RPPNoticias Jajajaja y lo dice @George_Forsyth el de doble nacionalidad (venezolano-chileno) ¡más bruto e inconsecuente no pudo ser! 🤣😂,-1
30,2021-01-23 22:06:35+00:00,Lalita,,0,0,0,[],@carceparo @SalitaSin @George_Forsyth Que más burrito dolido..... 😂 😂 😂,-1
31,2021-01-23 21:27:43+00:00,BettyOchoaFerreyra,Lima Huaral Perú,2100,0,3,[],@Luccio_lpx @George_Forsyth No mencionen más a muñeco titiresco @George_Forsyth le están haciendo propaganda gratis! El no fue ni número 1 en arqueros! Basta de engaños👩🏻‍⚖️🗳🇵🇪,-1
32,2021-01-23 21:25:11+00:00,Raymundo Saavedra,Peru,333,0,1,[],"@Luccio_lpx @George_Forsyth Tristeza, desesperanza. Aquí no hay futuro. Nunca vamos a cambiar.",-1
33,2021-01-23 21:12:17+00:00,Joshe Timoteo,,4,0,0,['Harold'],"@RPPNoticias NO puede ni con su vida ese candidato peor con el País , simplemente es un pelele y títere de su papi #Harold @congresoperu @George_Forsyth",-1
34,2021-01-23 20:49:47+00:00,Ferrer Castro,,0,0,0,[],@omarzev @George_Forsyth Porque te preocupas si FORSIYTH no va a sacar ni para el KK de Sagasti.,-1
35,2021-01-23 20:46:15+00:00,Luz Clarita Campos,,4,0,1,[],"@Luccio_lpx @George_Forsyth no podemos dejar que un arquero mediocre tenga la mas minima posibilidad, somos una verguenza",-1
36,2021-01-23 20:03:47+00:00,pancho dingo,,167,0,0,[],@SuiGnris No tiene ninguna idea propia porque No tiene cerebro. Su papi es su estratega y le incluye una buena dosis de racismo haciendose la víctima de racismo antiblanco. El Perú esta lejos de haber acabado con sus fantasmas y @George_Forsyth quiere sacarle ventaja.,-1
37,2021-01-23 19:58:27+00:00,JCV,,5,0,0,[],"@Luccio_lpx @George_Forsyth no estoy en contra de el, pero cual seria segun tu señor sabio x quien deberíamos votar, si los mas inteligentes y como los máximos pergaminos salieron unos indeseables(x decir lo menos) como PPK, Toledo y los peores de todos Fujimori y Alan Garcia",-1
38,2021-01-23 19:45:55+00:00,Aljuma,,16,0,0,[],"@Luccio_lpx @George_Forsyth Al menos yo no votaré por él y espero que la gente se informe bien antes de votar por algún candidato y no elija a un improvisado, oportunista y títere de personas que gobernarian al pais en la sombra solo por intereses politicos y con hambre de poder.",-1
39,2021-01-23 19:45:11+00:00,LuzMita,,776,5,7,[],"@CcantoBuendia Nos quieren hacer creer que los topos de Keiko son De Soto y López Aliaga, cuando en realidad es @George_Forsyth 
NO hay peor elector que aquel que NOOO quiere ver!
ADVERTIDOS ESTAMOS!👇👇👇 https://t.co/fTfYow0YH9",-1
40,2021-01-23 19:33:12+00:00,Fiorella Moreno,,8,0,0,[],@George_Forsyth Así de indignado eras en el pasado? Acaso has sido activista de alguna causa? Oportunista! Populista! Demagogo!,-1
41,2021-01-23 19:31:40+00:00,Fiorella Moreno,,8,0,0,[],@George_Forsyth Don Mamerto. Qué estaremos pagando?!,-1
42,2021-01-23 19:29:55+00:00,followkanye,,0,0,0,[],@George_Forsyth Taradazo. Mal informado.,-1
43,2021-01-23 19:24:46+00:00,facundo lopez,"Chaclacayo, Peru",31,0,1,[],"@cecilpgp @RPPNoticias @George_Forsyth Se podia hacer algo por la victoria.....? La victoria tiene un problema de 60 años....una problema mas grande que tu nariz...llena jueces corruptos, política corrupta, hascinacion, basura, policías sin autoridad....para solucionar la victoria..lo primero es una Bomba Atomica..",-1
44,2021-01-23 19:21:10+00:00,Lucy Alarcón,Peru,151,0,0,[],@larepublica_pe @heduardo50 @George_Forsyth ¿es otra maquinaria naranja?,-1
45,2021-01-23 18:50:51+00:00,Mauricio Reátegui,Perú,20,0,0,[],"@Luccio_lpx @George_Forsyth Ni cagando, los pulpines borregos seguro van a botar por él",-1
46,2021-01-23 18:43:31+00:00,votante curiosa ✊🇵🇪,,11,0,0,['MeCorroComoGuzman'],"@Luccio_lpx @George_Forsyth No soy su fan pero m da risa como lo vacilan con #MeCorroComoGuzman cuando el q en verdad se corre d cualquier debate y/o entrevista técnica es @George_Forsyth. Cualquiera se da cuenta q NO esta preparado para la política y sería un títere más. No rescato la victoria, la abandonó",-1
47,2021-01-23 18:27:47+00:00,CIRO SILVA PAREDES,,1,0,1,[],"JNE ADMITE PROCESO DE EXCLUSIÓN DEL CHILENO GEORGE FORSYTH, presentada por Patriota CIRO SILVA PAREDES (934128464) 
según Expediente: EG2021006242001
Merry Hinojosa
JEELC 1​ @willaxtv @MermeButters @cevalenzuelav @BetoASaberV @julianaoxenford @George_Forsyth",-1
48,2021-01-23 18:27:10+00:00,#ElQueNoLaDebeNoLaTeme,"Lima, Peru",46,0,0,[],"@LuzmitadelMar @George_Forsyth Es la CULTURA DEL BACALAO, patentada por el japonés, enfermo terminal eterno.",-1
49,2021-01-23 18:16:58+00:00,🇵🇪 𝙻𝚞𝚒𝚜 𝙲𝚊𝚗𝚌𝚑𝚊𝚢𝚊,Peru,931,0,0,['DejenseDeMilHuevadas'],@Luccio_lpx @George_Forsyth #DejenseDeMilHuevadas,-1
50,2021-01-23 18:16:50+00:00,Juan Pantoja,,10,0,0,[],"@Luccio_lpx @George_Forsyth el tema de la presidencia del Peru es,  estamos en una situacion donde hay 2 focos salimos juntos de los efectos economicos y salubresque con llevo el covid o nos jodemos eligiendo cualquier representante",-1
51,2021-01-23 18:13:36+00:00,ricardo barreda lope,Per,8,0,0,[],"@gvillasis Ahora Forsyth? No tienes banderas, todo por apoyar a Keiko
@George_Forsyth",-1
52,2021-01-23 18:13:22+00:00,Juan Pantoja,,10,0,1,[],"@makbernuy @Luccio_lpx @MaritaLozano3 @George_Forsyth Nada encuestas compradas , para imponernos a los candidatos asi no juega Peru",-1
53,2021-01-23 18:07:30+00:00,Delmira ChaMa,"Lima, Peru",395,0,4,[],"@ensustrece Hijito d papá, el cantinflesco farandulero @George_Forsyth. No entiendo porque siendo hijo d diplomático no estudió una carrera universitaria, eso dice mucho. ¿Es un flojo q no le gusta estudiar y prefirió el deporte? ¿Pq dedicarse a la política sin preparación, ni experiencia?",-1
54,2021-01-23 18:06:42+00:00,Marujinha🌹,"Lima, Peru",112,0,0,[],Los fujirratas distribuidos en otros partidos @George_Forsyth  que nos dice al respecto !!! https://t.co/w8PVHTcVcn,-1
55,2021-01-23 18:04:45+00:00,Juan Pantoja,,10,0,2,[],@ruiz_renzo @Luccio_lpx @George_Forsyth SI no ? nos queiren imponer candidatos igual tampoco votaria por Guzman ni mendoza,-1
56,2021-01-23 18:01:47+00:00,Juan Pantoja,,10,0,0,[],"@karrascoV @Luccio_lpx @George_Forsyth Y de donde salen esos numeros tan inflados , raro no ?",-1
57,2021-01-23 18:01:31+00:00,Christian Anlas,,94,0,0,[],"@Luccio_lpx @George_Forsyth Puta... siiii.... ni la ladrona de keiko, ni el oportunista de forzay,   por quién  votamos?  Busquen otras opciones carajo!",-1
58,2021-01-23 18:01:23+00:00,Juan Pantoja,,10,0,0,[],"@GalvezIgor @Luccio_lpx @George_Forsyth lo mismo seria votar por urresti , salaverry y mendoza",-1
59,2021-01-23 17:55:46+00:00,Juan Pantoja,,10,0,0,[],@robert_stop @Luccio_lpx @George_Forsyth jajajjajajaja eso es verdad si hay gente que cree en Guzman tambien ..,-1
60,2021-01-23 17:54:40+00:00,Juan Pantoja,,10,0,0,[],@Mercede44191786 @Luccio_lpx @George_Forsyth No lo veo tan lejano porque ese señor lo que busca es aprovecharse de la poblacion mas vulnerable,-1
61,2021-01-23 17:53:59+00:00,Juan Pantoja,,10,0,0,[],@Erikaloze2 @Luccio_lpx @George_Forsyth naaa por eso debemos informar a la gente a los jovenes por quienes no votar !,-1
62,2021-01-23 17:51:10+00:00,IngridTJ #SinCienciaNohayFuturo,"Lima, Peru",126,0,1,[],@Luccio_lpx @George_Forsyth Votar por Forsyth es votar por Keiko entiendan esa segunda vuelta será Keiko vs keiko,-1
63,2021-01-23 17:47:34+00:00,Jose Tito,,2,0,0,[],@Luccio_lpx @George_Forsyth UN ARQUERO DE PRESIDENTE.,-1
64,2021-01-23 17:47:01+00:00,Juan Pantoja,,10,0,3,[],@Gatopzu @Luccio_lpx @holiboli7_9 @George_Forsyth jajajajajajaj pero si  los candidatos de Fosyth en su gran mayoria son fujimoristas !,-1
65,2021-01-23 17:45:51+00:00,Juan Pantoja,,10,0,1,[],@eopastorm @Luccio_lpx @George_Forsyth Pues si ya me canse de votar siempre por el mal menor ya ps informese antes de votar ..,-1
66,2021-01-23 17:45:16+00:00,Juan Pantoja,,10,0,0,[],@BGosicha @Luccio_lpx @George_Forsyth Prefiero ir a Narnia y ser gobernado por un LEÓN que un idiota .,-1
67,2021-01-23 17:44:31+00:00,Juan Pantoja,,10,0,1,[],@SandraDvalos @Luccio_lpx @George_Forsyth Lo pensaria si por lo menos habria hecho una buena gestion en la victoria !,-1
68,2021-01-23 17:44:17+00:00,Endrina Lander,Lima,13,0,0,[],@RPPNoticias @George_Forsyth otro oportunista no hiciste nada por la victoria y vienes ahora a opinar. Permitiste el cobro ilegal de esos venezolanos.,-1
69,2021-01-23 17:44:00+00:00,Lalita,,0,0,0,[],@carceparo @SalitaSin @George_Forsyth Ya burro que más.... 😂,-1
70,2021-01-23 17:43:53+00:00,Juan Pantoja,,10,0,1,[],"@susylee2020 @Luccio_lpx @George_Forsyth SI pues , aqui todo esta conectado Forsyth , Guzman y KEIKO",-1
71,2021-01-23 17:43:11+00:00,Juan Pantoja,,10,0,0,[],"@RayCastaeda3 @Luccio_lpx @George_Forsyth Que bronca no ? , que este señor lidere las encuestas 
ahi se vee la calidad de votantes que tiene nuestro pais!",-1
72,2021-01-23 17:31:32+00:00,Erikaloze,"Lima, Peru",4,0,1,[],@Luccio_lpx @George_Forsyth Yo me he puesto en  peor de los escenarios y si queda Keiko con Forsight votaría por keiko... con todo el dolor de mi alma...,-1
73,2021-01-23 17:27:18+00:00,Gloria Montenegro,Trujillo - La Libertad,75892,137,361,[],".@George_Forsyth  George debes de hablar, estas son evidencias donde  lo más preocupante son los antecedentes de estos 12 fuji candidatos! 🤔 https://t.co/ri8sjMhdTY",-1
74,2021-01-23 17:12:10+00:00,edson lujan,lima,6,0,0,[],"@Luccio_lpx @George_Forsyth Es gente ilusa la verdad. Aunque nisiquiera ahí un buen candidato, todos tienen sus roches",-1
75,2021-01-23 17:04:02+00:00,Paco Pinillos,Trujillo - Perù,216,0,0,[],@pedrogianella1 @sullama @gvillasis @George_Forsyth Nosotros matamos menos,-1
76,2021-01-23 17:03:31+00:00,Pedro Salinas,Perú,1629,0,0,[],@George_Forsyth Caya oe chistoso,-1
77,2021-01-23 16:58:07+00:00,Oscar Mena Zapata,San Miguel Peru,529,1,0,[],"@RPPNoticias @George_Forsyth POPULISMO. DESPUÉS Q TODO EL PERU LO PIDIÓ, te subes al CARRO...pon tu cerebro a funcionar,estás igual q tu partner @albertofujimori cuando postuló c MVLL, esperaba q MVLL hablase para después el Chino rata contradecirlo,ASÍ GANO LAS ELECCIONES, tú HACES LO MISMO.",-1
78,2021-01-23 16:55:54+00:00,Brayan Gosicha,"Lima, Peru",21,0,1,[],"@Luccio_lpx @George_Forsyth Es increíble. Solo en Perulandia pasan estas cosas. Tendremos lo que nos merecemos, ya de ahí que no lloren... Cuando todo se vaya a la m..",-1
79,2021-01-23 16:50:25+00:00,BCJ 🇵🇪🇦🇷🇮🇹,siempre nuestro fiel Harrison,92,0,2,[],"@Guilleacmas @ElPulgondeSusan Es un TOPO fujimorista
@George_Forsyth",-1
80,2021-01-23 16:46:16+00:00,Sandra Dávalos,,10,1,1,[],"@Luccio_lpx @George_Forsyth Lo mismo digo yo...Forsyth está para Programa Reality o Influencer, pero para Presidente??? 🙈 Y hace y dice poco para que pensemos lo contrario.",-1
81,2021-01-23 16:38:22+00:00,Tobi,,38,0,0,[],"@George_Forsyth TE FALTA mucho para ser presidente no terminaste tus objetivos en la victoria, se demuestra con.acciones y echos noooo con lágrimas ni bla bla cuentos NUNCA MÁS",-1
82,2021-01-23 16:37:18+00:00,Renato Garcia Arribasplata,Lima,128,2,8,[],"@Luccio_lpx @George_Forsyth Más que respeto es por amor propio, no podemos dejar que un tipo sin preparación alguna llegue a ocupar tal cargo, no podemos perder 5 años más por favor 🙏🏼",-1
83,2021-01-23 16:36:51+00:00,Luis Enrique Pérez Asencio,,6,0,0,[],@abelgilvonio @George_Forsyth ¿Estás creyendo? Son las encuestas truchas.,-1
84,2021-01-23 16:03:17+00:00,Julio César,,3,0,0,[],@RPPNoticias @George_Forsyth Pero si tu también eres venezolano??? A sorry olvide tus idioteces populistas.... Pero dejando de lado eso!!!! Fuera venezolanos de m... (incluyendo Forzay),-1
85,2021-01-23 15:52:45+00:00,El Perro q hace Miau,,238,0,3,[],"@heduardo50 @larepublica_pe Cuidado con eso, y @George_Forsyth y sus 🐀🐀🐀 color 🍊 van a copar el gobierno y llenaran el estado d toda esas lacras naranjas.
Esa db ser una d las razones x la q @George_Forsyth no da entrevistas, no sabe q responder.",-1
86,2021-01-23 15:50:36+00:00,Lupilla666💫,lima,154,0,2,[],"@Guilleacmas Yo tampoco se, pero ayer este sr. Chavez, que no chave!! Le reventaba unos cohetes, que ya me hizo pensar q es amor del bueno!! 🤣🤣🤣🤣 del bueno para nada!!! @George_Forsyth deja de hacer el ridículo, prepárate, estudia y de ahí me cuentas 😎👍 antes no!! https://t.co/bN1kFhxT6X",-1
87,2021-01-23 15:49:20+00:00,Felipe Lotas,Lima,523,0,0,[],Buenas @patarevalo ya dijo algo sobre los fujimoristas que @George_Forsyth lleva al próximo Congreso?,-1
88,2021-01-23 15:48:36+00:00,Eduardo Pastor,"Lima, Peru",34,4,23,[],"@Luccio_lpx @George_Forsyth Los dos candidatos que lideran las encuestas, refleja nuestro nivel cultural como pais. Es lamentable, pero cierto.",-1
89,2021-01-23 15:37:43+00:00,Marco,Lima,18,0,1,[],"@Luccio_lpx @George_Forsyth Yo votaré por ese payaso, al igual que Jean Ferrari (Quien también postula por ese partido) y luego despertaré CSM. Sin una cagada ambos tipos.",-1
90,2021-01-23 15:36:35+00:00,liggia vanessa 💙,,200,0,0,[],@KarlaCalle @George_Forsyth un poquito de empatia3con tus compatriotas venezolanos.,-1
91,2021-01-23 15:33:50+00:00,M. Jahir,Lima-Perú,108,1,3,[],"🚨Hasta su canal favorito @RPPNoticias con sus conductores alcahuetes en voz alta, le manifiestan su molestia al señor @George_Forsyth 🇻🇪🇨🇱, al hacerle saber que esta en primer lugar de las encuestas, pero no tiene ningún plan de gobierno que hasta ahora halla mostrado al Perú🙄 https://t.co/lKDMoUrUwD",-1
92,2021-01-23 15:30:38+00:00,Lucy Martinez,Perú,133,0,0,[],"Para ocupar un cargo de representación es necesario preparación y convicción. @George_Forsyth no tiene preparación y mucho menos convicción: renunció a su gestión en La Victoria. Si él va como arquero para nuestro país, la corrupción e improvisación ya metió un gol https://t.co/7DhgdtNaOs",-1
93,2021-01-23 15:28:55+00:00,Aída Luz Mendoza,Lima-Perú,572,1,1,[],@KarlaCalle @MezoneRives @George_Forsyth ¿Habrá sido el papá?,-1
94,2021-01-23 15:20:30+00:00,victor prada cotrina,,195,1,9,[],"@makbernuy @MaritaLozano3 @Luccio_lpx @George_Forsyth No,no lo creo,lo q creo q varios dinosaurios solapados están en ese partido y a la hora @George_Forsyth solo resultará un titere más de los q se resisten a perder los beneficios de la constitución fujimorista!",-1
95,2021-01-23 15:09:19+00:00,Felix Emerson Meca Z,,84,0,0,[],@George_Forsyth que dices a esto y así quires ser presidente jajaaaj https://t.co/TjVg6xxmmU,-1
96,2021-01-23 15:09:10+00:00,Max Bernuy A.,"Lima, Peru",92,1,6,[],"@Luccio_lpx @MaritaLozano3 @George_Forsyth Es increible que un arquero disque sea mas lider que todos los politicos de todo el Peru...
Ud cree???",-1
97,2021-01-23 15:05:48+00:00,A~k,,193,0,0,[],@Luccio_lpx @George_Forsyth Sigo sin conocer a nadie que diga abiertamente que votará por Forsyth.,-1
98,2021-01-23 15:02:12+00:00,kenny,,55,0,1,[],@Luccio_lpx @George_Forsyth Esas encuestas mas falsas que lagrimas de cocodrilo.,-1
99,2021-01-23 14:55:10+00:00,Janet,Peru,156,0,1,[],@Luccio_lpx @George_Forsyth Es un baboso 😊,-1
100,2021-01-23 14:51:51+00:00,DAVICO,PERU,2339,8,33,[],"Hay que tener cuidado con la salud de @George_Forsyth.
Ese pobre muchachón cuando se entere que lo agarraron como ""globo de ensayo"" para subirlo en las encuestas para luego bajarlo de golpe, le puede dar un ataque cardíaco.",-1
101,2021-01-23 14:49:43+00:00,DAVICO,PERU,2339,1,4,[],"@RPPNoticias @George_Forsyth es peruano?
¿Dónde nació?",-1
102,2021-01-23 14:41:04+00:00,Pedro Salinas,Perú,1629,0,0,['forsyth'],"@George_Forsyth el candidato preferido de los caviaras, sin ideas,sin argumentos, sin profesion. La prensa y la generacion del bicentenario se indignaban diciendo que @MerinoDeLama como puede ser presidente si no tiene ninguna profesion. Y apoyan a #forsyth imbeciles, idiotas https://t.co/uicCSups9v",-1
103,2021-01-23 14:38:19+00:00,Ray Castañeda,"San isidro, Peru",8,0,2,[],"@Luccio_lpx @George_Forsyth Es falso. Salomon Lerner esta vez apostando por hijito de papá y a invertido como lo hizo con Humala en las encuestadoras, las cuales hasta ahora no saben de donde salieron los votos de FREPAP.",-1
104,2021-01-23 14:38:08+00:00,Mercedes Mendoza Flores,,4,0,0,[],@KarlaCalle @George_Forsyth Pobre improvisado sólo sabe patear pelota,-1
105,2021-01-23 14:32:40+00:00,David Paredes,Lima / CDMX / Toronto,904,0,2,"['NoAForsyth', 'Peru', 'Elecciones2021']","Mientras la gente muere y se esperan medidas contra la pandemia y a favor de la recuperación económica, @George_Forsyth recurre a la vieja confiable: Despertar la xenofobia, total eso vende más que lo anterior (de lo que no sabe algo)
.
.
#NoAForsyth #Peru #Elecciones2021 https://t.co/9TS3wTgzRk",-1
106,2021-01-23 14:32:00+00:00,Cesar Mimbela Valencia,Lima,213,0,0,[],"@Luccio_lpx @George_Forsyth En serio
Forzay está en la nube.
De Soto es un viejito caducó hace 10 años que no asesora a ningún dictador.
López Aliaga está loco.
Keiko es la misma cara dura de siempre.",-1
107,2021-01-23 14:31:30+00:00,DANIEL HERNÁNDEZ ZIEGLER,Peru,7003,1,4,[],@Charitocrema @George_Forsyth El Richard Swing de La Victoria.,-1
108,2021-01-23 14:29:21+00:00,Jorge Pari,,111,1,1,[],@VerduscoSerapio @RudyDulcexxx @George_Forsyth @NicolasMaduro no está buscando a George Forzay?,-1
109,2021-01-23 14:28:03+00:00,Jóvenes Morados,,4115,22,74,[],"A nosotros también nos gusta el fútbol, pero no lo usamos para ganar votos y menos para tomar decisiones importantes. Sr. @ChavezMaximixe, ¿sabe qué hinchas de @ClubALoficial no admiran a @George_Forsyth? Los vecinos de La Victoria que dejó a su suerte por pura ambición política. https://t.co/ufhhNLvKsZ",-1
110,2021-01-23 14:23:48+00:00,Renzo Ruiz,Lima-Perú,68,0,8,[],"@Luccio_lpx @George_Forsyth Siento q los medios quieren hacer una especie de ""corralito"" entre Keiko y GF. No los tocan ni con el pétalo de una rosa pero al resto le dan con palo a diario. Con la idea de q pasen a 2da vuelta (si, como las encuestas) donde por fin tendría q ganar Keiko, ya q GF está en nada",-1
111,2021-01-23 14:23:32+00:00,Saúl García,Lima,279,0,4,[],"@Pe2Piscosour @Luccio_lpx @JeremyM65968984 @George_Forsyth Esas mismas encuestas que nos impusieron al campeón @JorgeMunozPe, hoy el hombre invisible.",-1
112,2021-01-23 14:22:37+00:00,David Paredes,Lima / CDMX / Toronto,904,0,0,"['FujimorismoNuncaMas', 'Forsyth', 'Peru', 'Elecciones2021']","Nunca más preciso. Votar por @George_Forsyth ea votar por una de las alas del fujimorismo

#FujimorismoNuncaMas #Forsyth #Peru #Elecciones2021 https://t.co/rUK6eswC12",-1
113,2021-01-23 14:19:24+00:00,Mercedes,,4214,1,3,[],@Luccio_lpx @George_Forsyth De ser así seremos el país más ignorante del planeta...al que nos roba le hacen un monumento y al burro lo elevan a las alturas...ojalá me equivoqué.,-1
